,game_num,turn_num,player_turn,board_state,optimal_move,result
64,1,12,1,"[[0, 2, 0, 0, 2, 0, 1], [0, 1, 0, 0, 1, 0, 2], [0, 1, 0, 0, 2, 0, 1], [0, 2, 0, 0, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [1, 2, 1, 2, 1, 0, 2]]",3,1
65,1,12,2,"[[0, 2, 0, 0, 2, 0, 1], [0, 1, 0, 0, 1, 0, 2], [0, 1, 0, 0, 2, 0, 1], [0, 2, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [1, 2, 1, 2, 1, 0, 2]]",3,1
66,1,13,1,"[[0, 2, 0, 0, 2, 0, 1], [0, 1, 0, 0, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [0, 2, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [1, 2, 1, 2, 1, 0, 2]]",3,1
67,1,13,2,"[[0, 2, 0, 0, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [0, 2, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [1, 2, 1, 2, 1, 0, 2]]",3,1
68,1,14,1,"[[0, 2, 0, 2, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [0, 2, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [1, 2, 1, 2, 1, 0, 2]]",5,1
69,1,14,2,"[[0, 2, 0, 2, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [0, 2, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",0,1
70,1,15,1,"[[0, 2, 0, 2, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [0, 2, 0, 1, 1, 0, 2], [2, 1, 0, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",2,1
71,1,15,2,"[[0, 2, 0, 2, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [0, 2, 0, 1, 1, 0, 2], [2, 1, 1, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",0,1
72,1,16,1,"[[0, 2, 0, 2, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2], [0, 1, 0, 2, 2, 0, 1], [2, 2, 0, 1, 1, 0, 2], [2, 1, 1, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",0,1
73,1,16,2,"[[0, 2, 0, 2, 2, 0, 1], [0, 1, 0, 1, 1, 0, 2], [1, 1, 0, 2, 2, 0, 1], [2, 2, 0, 1, 1, 0, 2], [2, 1, 1, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",0,1
74,1,17,1,"[[0, 2, 0, 2, 2, 0, 1], [2, 1, 0, 1, 1, 0, 2], [1, 1, 0, 2, 2, 0, 1], [2, 2, 0, 1, 1, 0, 2], [2, 1, 1, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",0,1
